"num","Sujeto","CIF","OBS","Razon","GWh_15","pp_ventas","Obli_ahoGWh","IEEoa_17_EUR","Ajus_16","IEEoa_17_ajus16_EUR"
"413","ee+g","B99301822",NA,"NUEVA COMERCIALIZADORA ESPAÑOLA,  S.L.",0.7758,1e-04,0.003017,204.88,0.01,204.89
"414","ee","B90137316",1,"ODF ENERGÍA LIBRE COMERCIALIZADORA, S.L.",0,0,0,0,0,0
"415","ee","F94090792",1,"NOSA ENERXIA SOCIEDADE COOP GALEGA",0,NA,NA,NA,0,0
"416","ee","40486450",NA,"OFFICE NATIONAL DE L'ELECTRICITÉ  ET L'EAU POTABLE (ONEE)",0,0,0,0,0,0
"417","ee","B54737408",NA,"OLE GREEN ENERGY, S.L.U.",2.339864,0.000301,0.009098,617.92,0.09,618.01
"418","pp","A65316796",NA,"OLIVIA PETROLEUM,  S.A.",74.662,0.009608,0.290311,19716.95,0.86,19717.82
"419","ee+g","B91405084",NA,"ON DEMAND FACILITIES, S.L.U.",166.737447,0.021458,0.648332,44032.5,59.49,44091.99
"420","pp","B98838733",2.3,"OPERADOR SEGOMAR, S.L.",0,0,0,0,NA,0
"421","pp","A85093763",NA,"OPERADORA  PETROLÍFERA  DINOIL, S.A.",0,0,0,0,0,0
"422","pp","G09436619",NA,"OPERADORES  DE CASTILLA Y LEÓN, A.I.E.",406.883735,0.052363,1.582103,107451.02,190.51,107641.53
"423","g","B64885064",NA,"ORUS ENERGIA, S.L.",404.481,0.052054,1.57276,106816.5,106.23,106922.73
"424","g+pp","B24259103",2,"PASO HONROSO, S.L.",0,0,0,0,NA,0
"425","pp","B11905163",NA,"PENINSULA PETROLEUM,  S.L.U.",0,0,0,0,0,0
"426","pp","B14381990",NA,"PENTAGAS HIDROCARBUROS, S.L.U",398.9,0.051336,1.551059,105342.65,138.63,105481.28
"427","ee","B87047064",1,"PEPEENERGY,  S.L.",0.977216,0.000126,0.0038,258.07,0,258.07
"428","pp","B87557930",2.3,"PERSEOIL, S.L.U.",0,0,0,0,NA,0
"429","g","B36931426",NA,"PETRO MEETING POINT, S.L.",0,0,0,0,0,0
"430","g","N0039711G",NA,"PETROBRAS  GLOBAL TRADING B.V.",0,0,0,0,0,0
"431","pp","B86642998",NA,"PETROEUROPA, S.L.",1820.967866,0.234345,7.080545,480886.4,298.37,481184.77
"432","pp","N1091115D",2,"PETROINEOS  TRADING LIMITED",0,0,0,0,NA,0
"433","pp","B87423349",2.3,"PETROLARA,  S.L.U.",0,0,0,0,NA,0
"434","pp","A76513472",NA,"PETRÓLEOS  ARCHIPIÉLAGO, S.A.",650.435319,0.083706,2.529115,171768.82,225.12,171993.94
"435","pp","A48053243",NA,"PETRÓLEOS  DEL NORTE, S.A. (PETRONOR)",317.7,0.040886,1.235326,83899.12,9.18,83908.3
"436","pp","A38333316",NA,"PETROLÍFERA  CANARIA, S.A.",616.026,0.079278,2.395319,162681.91,227.68,162909.58
"437","pp","B83067991",3,"PETROLÍFERA  DUCAR, S.L.",0,0,0,0,0,0
"438","pp","B76012277",3,"PETROLOGIS  CANARIAS, S.L.",0,0,0,0,0,0
"439","pp","B87603478",2.3,"PETROLOIS,  S.L.",0,0,0,0,NA,0
"440","pp","B62856190",NA,"PETROMIRALLES 3, S.L.",5881.869,0.756954,22.870716,1553300.79,2520.06,1555820.84
"441","g","B31595523",NA,"PETRONAVARRA, S.L.",103.011241,0.013257,0.400543,27203.5,22.07,27225.58
"442","ee","B65940322",NA,"PETRONIEVES  ENERGIA 1, S.L.",24.61,0.003167,0.095692,6499.08,1.59,6500.67
"443","ee","B23709892",2,"PETROPRIX ENERGÍA, S.L.",0,0,0,0,NA,0
"444","ee","B19595677",2,"PHOTON GESTION S.L.",0,0,0,0,NA,0
"445","pp","B86501269",NA,"PLASTICENERGY ANDALUCÍA UNO, S.L.",9.79,0.00126,0.038067,2585.37,0,2585.37
"446","ee","B66527201",1,"PREMIUM NUEVA ENERGÍA, S.L.",0,0,0,0,0,0
"447","g","BE0508915349",NA,"PRIMA LNG N.V.",0,0,0,0,0,0
"448","g+glp","A61128013",NA,"PRIMAGAS ENERGIA, S.A.U.",335.837,0.04322,1.305849,88688.8,103.23,88792.02
"449","pp","B87509527",2.3,"PRIME COMMERCE,  S.L.",0,0,0,0,NA,0
"450","ee","B66477993",1,"PROT ENERGÍA COMERCIALIZACIÓN, S.L.",0.016313,2e-06,6.3e-05,4.31,0,4.31
